"","p","replicate","betac","carrying","extinction_t","extinct","disease_gone","min_s","final_s","final_i"
"1",0,1,30,210,5.40653804978698,TRUE,FALSE,3,3,2
"2",0,1,34.37,210,8.10699400830071,TRUE,FALSE,3,4,1
"3",0,1,25,210,10.9568387848003,FALSE,FALSE,7,18,0
"4",0,2,30,210,5.35137604960914,TRUE,FALSE,2,2,3
"5",0,2,34.37,210,4.02526193166616,FALSE,FALSE,11,11,0
"6",0,2,25,210,6.87722960204588,TRUE,FALSE,2,2,3
"7",0,3,30,210,3.59633783282077,TRUE,FALSE,4,4,1
"8",0,3,34.37,210,5.36909492993596,FALSE,FALSE,6,6,0
"9",0,3,25,210,4.12332353580564,FALSE,FALSE,23,26,0
"10",0,4,30,210,4.46099607676029,FALSE,FALSE,6,6,0
"11",0,4,34.37,210,3.68766710199788,TRUE,FALSE,2,2,3
"12",0,4,25,210,7.31819366379494,FALSE,FALSE,6,6,0
"13",0,5,30,210,6.17526633320991,TRUE,FALSE,3,3,2
"14",0,5,34.37,210,4.83096389838258,TRUE,FALSE,3,4,1
"15",0,5,25,210,4.80580423815107,FALSE,FALSE,3,8,0
"16",0,6,30,210,5.54604389409999,TRUE,FALSE,3,3,2
"17",0,6,34.37,210,3.7706595886593,TRUE,FALSE,4,4,1
"18",0,6,25,210,5.92320355391186,FALSE,FALSE,4,6,0
"19",0,7,30,210,4.77884578040577,TRUE,FALSE,3,3,2
"20",0,7,34.37,210,5.17576668226043,FALSE,FALSE,4,9,0
"21",0,7,25,210,6.86867262901285,TRUE,FALSE,1,1,4
"22",0,8,30,210,5.56587688151684,FALSE,FALSE,7,9,0
"23",0,8,34.37,210,5.0218074431915,FALSE,FALSE,6,6,0
"24",0,8,25,210,8.56896639322512,TRUE,FALSE,2,2,3
"25",0,9,30,210,3.95391043351339,TRUE,FALSE,1,1,4
"26",0,9,34.37,210,5.6162168976633,FALSE,FALSE,4,7,0
"27",0,9,25,210,5.33566709704537,TRUE,FALSE,3,3,2
"28",0,10,30,210,7.51214857370882,FALSE,FALSE,5,9,0
"29",0,10,34.37,210,5.87819227904913,TRUE,FALSE,4,4,1
"30",0,10,25,210,4.42217543853352,TRUE,FALSE,3,3,2
"31",0,1,30,2100,12.9541612043805,TRUE,FALSE,2,2,3
"32",0,1,34.37,2100,9.4375673600994,TRUE,FALSE,3,3,2
"33",0,1,25,2100,13.4678134394577,TRUE,FALSE,3,3,2
"34",0,2,30,2100,9.6196494894905,TRUE,FALSE,3,4,1
"35",0,2,34.37,2100,10.5840536454196,TRUE,FALSE,3,3,2
"36",0,2,25,2100,12.7782613305343,TRUE,FALSE,3,3,2
"37",0,3,30,2100,9.6578825461297,FALSE,FALSE,5,15,0
"38",0,3,34.37,2100,11.5180660564724,FALSE,FALSE,6,10,0
"39",0,3,25,2100,13.5864810622768,TRUE,FALSE,1,2,3
"40",0,4,30,2100,10.9052855560638,TRUE,FALSE,4,4,1
"41",0,4,34.37,2100,10.1547209573478,TRUE,FALSE,1,1,4
"42",0,4,25,2100,12.644955213055,FALSE,FALSE,9,10,0
"43",0,5,30,2100,11.6196937957942,TRUE,FALSE,2,2,3
"44",0,5,34.37,2100,11.1863097171094,TRUE,FALSE,3,5,0
"45",0,5,25,2100,12.0872969415118,FALSE,FALSE,12,20,0
"46",0,6,30,2100,9.13497490427891,TRUE,FALSE,2,2,3
"47",0,6,34.37,2100,12.4110973159867,TRUE,FALSE,3,3,2
"48",0,6,25,2100,15.0435975984722,TRUE,FALSE,2,3,2
"49",0,7,30,2100,9.4714387194432,FALSE,FALSE,9,9,0
"50",0,7,34.37,2100,9.40107076948696,TRUE,FALSE,2,2,3
"51",0,7,25,2100,10.0108949333213,FALSE,FALSE,6,8,0
"52",0,8,30,2100,15.2689826705219,TRUE,FALSE,4,4,1
"53",0,8,34.37,2100,11.170973399589,TRUE,FALSE,2,2,3
"54",0,8,25,2100,9.73441759200673,TRUE,FALSE,3,3,2
"55",0,9,30,2100,9.35460284372167,FALSE,FALSE,5,10,0
"56",0,9,34.37,2100,15.623978545431,FALSE,FALSE,2,8,0
"57",0,9,25,2100,12.9010526326628,TRUE,FALSE,4,4,1
"58",0,10,30,2100,9.94048552244802,TRUE,FALSE,2,2,3
"59",0,10,34.37,2100,10.7080025930436,TRUE,FALSE,1,1,4
"60",0,10,25,2100,9.8484397961737,FALSE,FALSE,6,6,0
"61",0.05,1,30,210,7.33076430673157,TRUE,FALSE,4,5,0
"62",0.05,1,34.37,210,5.22109828145512,TRUE,FALSE,3,3,2
"63",0.05,1,25,210,0.309290702241134,FALSE,FALSE,89,90,0
"64",0.05,2,30,210,3.19598044572344,FALSE,FALSE,9,15,0
"65",0.05,2,34.37,210,5.60358339752272,FALSE,FALSE,2,7,0
"66",0.05,2,25,210,7.33508528504823,TRUE,FALSE,4,4,1
"67",0.05,3,30,210,4.93831159507957,FALSE,FALSE,6,6,0
"68",0.05,3,34.37,210,7.76278234071947,FALSE,FALSE,8,17,0
"69",0.05,3,25,210,5.53461850560697,TRUE,FALSE,4,4,1
"70",0.05,4,30,210,7.5122496397646,FALSE,FALSE,8,8,0
"71",0.05,4,34.37,210,6.79572184680615,FALSE,FALSE,8,8,0
"72",0.05,4,25,210,8.58686930511705,TRUE,FALSE,3,3,2
"73",0.05,5,30,210,6.30957408176252,FALSE,FALSE,5,6,0
"74",0.05,5,34.37,210,3.30074515093939,FALSE,FALSE,17,17,0
"75",0.05,5,25,210,3.74725199258815,FALSE,FALSE,7,11,0
"76",0.05,6,30,210,4.98887056770797,TRUE,FALSE,5,5,0
"77",0.05,6,34.37,210,3.81880640052915,TRUE,FALSE,3,3,2
"78",0.05,6,25,210,3.67752046213496,TRUE,FALSE,2,2,3
"79",0.05,7,30,210,5.75643701465111,FALSE,FALSE,9,11,0
"80",0.05,7,34.37,210,5.24097666047016,TRUE,FALSE,5,5,0
"81",0.05,7,25,210,4.20545839516272,FALSE,FALSE,4,8,0
"82",0.05,8,30,210,6.46242875664214,FALSE,FALSE,6,6,0
"83",0.05,8,34.37,210,5.09280628709811,TRUE,FALSE,4,4,1
"84",0.05,8,25,210,3.66681965551359,FALSE,FALSE,10,17,0
"85",0.05,9,30,210,5.10330066853342,TRUE,FALSE,2,2,3
"86",0.05,9,34.37,210,6.76161158042576,TRUE,FALSE,1,2,3
"87",0.05,9,25,210,7.6818361064277,TRUE,FALSE,3,4,1
"88",0.05,10,30,210,5.72920414943425,TRUE,FALSE,3,3,2
"89",0.05,10,34.37,210,5.1586808220062,FALSE,FALSE,6,7,0
"90",0.05,10,25,210,4.51977663055164,FALSE,FALSE,4,8,0
"91",0.05,1,30,2100,10.1405617973782,FALSE,FALSE,6,19,0
"92",0.05,1,34.37,2100,10.7424267946493,TRUE,FALSE,0,0,5
"93",0.05,1,25,2100,9.9277852099251,TRUE,FALSE,2,2,3
"94",0.05,2,30,2100,9.23606447052172,TRUE,FALSE,2,2,3
"95",0.05,2,34.37,2100,10.2641188192202,TRUE,FALSE,3,3,2
"96",0.05,2,25,2100,0.313073117597367,FALSE,FALSE,1000,1047,0
"97",0.05,3,30,2100,11.1787129589937,TRUE,FALSE,4,4,1
"98",0.05,3,34.37,2100,10.6001109045774,FALSE,FALSE,6,10,0
"99",0.05,3,25,2100,9.88767023963221,TRUE,FALSE,1,1,4
"100",0.05,4,30,2100,7.67094667487897,FALSE,FALSE,16,18,0
"101",0.05,4,34.37,2100,10.7085281872918,TRUE,FALSE,4,4,1
"102",0.05,4,25,2100,12.8236679743863,TRUE,FALSE,2,2,3
"103",0.05,5,30,2100,11.5726195365762,TRUE,FALSE,2,2,3
"104",0.05,5,34.37,2100,10.9160063792526,TRUE,FALSE,3,3,2
"105",0.05,5,25,2100,11.5118149192014,FALSE,FALSE,9,13,0
"106",0.05,6,30,2100,11.0921829544769,TRUE,FALSE,3,3,2
"107",0.05,6,34.37,2100,9.25432807653408,TRUE,FALSE,3,3,2
"108",0.05,6,25,2100,9.59182776631863,FALSE,FALSE,21,21,0
"109",0.05,7,30,2100,9.38946071704227,TRUE,FALSE,4,4,1
"110",0.05,7,34.37,2100,12.0794399606854,TRUE,FALSE,0,2,3
"111",0.05,7,25,2100,9.7545696139191,TRUE,FALSE,3,3,2
"112",0.05,8,30,2100,13.3579048256221,FALSE,FALSE,5,16,0
"113",0.05,8,34.37,2100,11.6800684919423,TRUE,FALSE,2,4,1
"114",0.05,8,25,2100,11.669116121656,TRUE,FALSE,1,1,4
"115",0.05,9,30,2100,14.4576767918436,TRUE,FALSE,3,3,2
"116",0.05,9,34.37,2100,11.3058882089989,TRUE,FALSE,1,4,1
